benchmark,matrix_size,num_threads,block_size,chunk_size,mflops
dmatdmatadd,7000,1,1-1024,15,498.915
dmatdmatadd,1,1,1-1024,20,87.6726
dmatdmatadd,2,1,1-1024,20,280.781
dmatdmatadd,3,1,1-1024,20,548.163
dmatdmatadd,4,1,1-1024,20,834.468
dmatdmatadd,5,1,1-1024,20,935.71
dmatdmatadd,6,1,1-1024,20,1173.22
dmatdmatadd,7,1,1-1024,20,1183.36
dmatdmatadd,8,1,1-1024,20,1662.72
dmatdmatadd,9,1,1-1024,20,1162.02
dmatdmatadd,10,1,1-1024,20,1679.21
dmatdmatadd,11,1,1-1024,20,1873.94
dmatdmatadd,12,1,1-1024,20,2054.76
dmatdmatadd,13,1,1-1024,20,1476.74
dmatdmatadd,14,1,1-1024,20,1649.1
dmatdmatadd,16,1,1-1024,20,1861.31
dmatdmatadd,18,1,1-1024,20,1895.97
dmatdmatadd,20,1,1-1024,20,2104.44
dmatdmatadd,23,1,1-1024,20,2287.05
dmatdmatadd,26,1,1-1024,20,2148.18
dmatdmatadd,30,1,1-1024,20,2333.86
dmatdmatadd,34,1,1-1024,20,2293.41
dmatdmatadd,39,1,1-1024,20,1491.19
dmatdmatadd,45,1,1-1024,20,1514.88
dmatdmatadd,52,1,1-1024,20,1580.06
dmatdmatadd,60,1,1-1024,20,1471.35
dmatdmatadd,69,1,1-1024,20,1536.67
dmatdmatadd,79,1,1-1024,20,1605.99
dmatdmatadd,90,1,1-1024,20,1536.29
dmatdmatadd,103,1,1-1024,20,1499.22
dmatdmatadd,118,1,1-1024,20,1330.98
dmatdmatadd,135,1,1-1024,20,1154.13
dmatdmatadd,155,1,1-1024,20,1087.19
dmatdmatadd,176,1,1-1024,20,1068.71
dmatdmatadd,200,1,1-1024,20,622.117
dmatdmatadd,230,1,1-1024,20,681.671
dmatdmatadd,264,1,1-1024,20,737.977
dmatdmatadd,300,1,1-1024,20,784.621
dmatdmatadd,345,1,1-1024,20,821.73
dmatdmatadd,396,1,1-1024,20,877.744
dmatdmatadd,455,1,1-1024,20,911.808
dmatdmatadd,523,1,1-1024,20,939.464
dmatdmatadd,600,1,1-1024,20,951.965
dmatdmatadd,690,1,1-1024,20,953.798
dmatdmatadd,793,1,1-1024,20,875.765
dmatdmatadd,912,1,1-1024,20,703.018
dmatdmatadd,1048,1,1-1024,20,549.144
dmatdmatadd,1200,1,1-1024,20,481.388
dmatdmatadd,1380,1,1-1024,20,473.38
dmatdmatadd,1587,1,1-1024,20,481.968
dmatdmatadd,1825,1,1-1024,20,488.4
dmatdmatadd,2100,1,1-1024,20,488.846
dmatdmatadd,2415,1,1-1024,20,489.576
dmatdmatadd,2777,1,1-1024,20,491.628
dmatdmatadd,3193,1,1-1024,20,491.517
dmatdmatadd,3672,1,1-1024,20,496.504
