runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,num_elements_uncomplete,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops
openmp,marvin,dmatdmatadd,264,1,16,64,1024,128,85,71808,85,1.0,87040,85.0,0,32768,262144,20971520,8,512,8,32640.0,4,70.56986665883637,1.0,987.617
openmp,marvin,dmatdmatadd,300,1,16,64,1024,704,95,91200,95,1.0,97280,95.0,0,32768,262144,20971520,8,512,8,36480.0,4,89.14068380809002,1.0,1009.64
openmp,marvin,dmatdmatadd,345,1,16,64,1024,400,132,121440,132,1.0,135168,132.0,0,32768,262144,20971520,8,512,8,50688.0,4,125.73872957202484,1.0,963.14
openmp,marvin,dmatdmatadd,396,1,16,64,1024,192,175,158400,175,1.0,179200,175.0,0,32768,262144,20971520,8,512,8,67200.0,4,153.46433883974007,1.0,1021.84
openmp,marvin,dmatdmatadd,455,1,16,64,1024,112,232,211120,232,1.0,237568,232.0,0,32768,262144,20971520,8,512,8,89088.0,4,200.74142724745136,1.0,1035.84
openmp,marvin,dmatdmatadd,523,1,16,64,1024,176,297,276144,297,1.0,304128,297.0,0,32768,262144,20971520,8,512,8,114048.0,4,277.25595607138604,1.0,990.334
openmp,marvin,dmatdmatadd,600,1,16,64,1024,384,380,364800,380,1.0,389120,380.0,0,32768,262144,20971520,8,512,8,145920.0,4,346.75399730302445,1.0,1038.2
openmp,marvin,dmatdmatadd,690,1,16,64,1024,800,484,485760,484,1.0,495616,484.0,0,32768,262144,20971520,8,512,8,185856.0,4,464.1819256904122,1.0,1031.63
openmp,marvin,dmatdmatadd,793,1,16,64,1024,400,650,634400,650,1.0,665600,650.0,0,32768,262144,20971520,8,512,8,249600.0,4,798.2593949961387,1.0,793.747
openmp,marvin,dmatdmatadd,912,1,16,64,1024,256,855,831744,855,1.0,875520,855.0,0,32768,262144,20971520,8,512,8,328320.0,4,1853.1340304034256,1.0,448.831
openmp,marvin,dmatdmatadd,1048,1,16,64,1024,384,1122,1106688,1122,1.0,1148928,1122.0,0,32768,262144,20971520,8,512,8,430848.0,4,3760.2719793481942,1.0,292.081
openmp,marvin,dmatdmatadd,1200,1,16,64,1024,768,1425,1440000,1425,1.0,1459200,1425.0,0,32768,262144,20971520,8,512,8,547200.0,4,5594.3838602025635,1.0,257.401
openmp,marvin,dmatdmatadd,1380,1,16,64,1024,576,1914,1920960,1914,1.0,1959936,1914.0,0,32768,262144,20971520,8,512,8,734976.0,4,7828.853790687923,1.0,243.254
openmp,marvin,dmatdmatadd,1587,1,16,64,1024,816,2500,2539200,2500,1.0,2560000,2500.0,0,32768,262144,20971520,8,512,8,960000.0,4,10498.823862477257,1.0,240.193
openmp,marvin,dmatdmatadd,200,1,32,128,4096,2304,14,44800,14,1.0,57344,14.0,0,32768,262144,20971520,8,512,8,21504.0,4,39.42867844927007,1.0,1014.49
openmp,marvin,dmatdmatadd,230,1,32,128,4096,3264,16,58880,16,1.0,65536,16.0,0,32768,262144,20971520,8,512,8,24576.0,4,52.66948489118522,1.0,1021.92
openmp,marvin,dmatdmatadd,264,1,32,128,4096,256,27,76032,27,1.0,110592,27.0,0,32768,262144,20971520,8,512,8,41472.0,4,69.40519224449557,1.0,1004.19
openmp,marvin,dmatdmatadd,300,1,32,128,4096,1408,30,96000,30,1.0,122880,30.0,0,32768,262144,20971520,8,512,8,46080.0,4,88.60099036218116,1.0,1015.79
openmp,marvin,dmatdmatadd,345,1,32,128,4096,2848,33,121440,33,1.0,135168,33.0,0,32768,262144,20971520,8,512,8,50688.0,4,121.10436331308995,1.0,999.997
openmp,marvin,dmatdmatadd,396,1,32,128,4096,384,52,164736,52,1.0,212992,52.0,0,32768,262144,20971520,8,512,8,79872.0,4,155.5637121174545,1.0,1008.05
openmp,marvin,dmatdmatadd,455,1,32,128,4096,2272,60,218400,60,1.0,245760,60.0,0,32768,262144,20971520,8,512,8,92160.0,4,205.14601420678767,1.0,1013.6
openmp,marvin,dmatdmatadd,523,1,32,128,4096,352,85,284512,85,1.0,348160,85.0,0,32768,262144,20971520,8,512,8,130560.0,4,273.4657291396929,1.0,1004.06
openmp,marvin,dmatdmatadd,600,1,32,128,4096,2816,95,364800,95,1.0,389120,95.0,0,32768,262144,20971520,8,512,8,145920.0,4,350.38201372329553,1.0,1027.45
openmp,marvin,dmatdmatadd,690,1,32,128,4096,1600,132,485760,132,1.0,540672,132.0,0,32768,262144,20971520,8,512,8,202752.0,4,475.4219451173504,1.0,1007.24
openmp,marvin,dmatdmatadd,793,1,32,128,4096,800,175,634400,175,1.0,716800,175.0,0,32768,262144,20971520,8,512,8,268800.0,4,706.3841647296221,1.0,896.985
openmp,marvin,dmatdmatadd,912,1,32,128,4096,512,232,846336,232,1.0,950272,232.0,0,32768,262144,20971520,8,512,8,356352.0,4,1271.9704175855097,1.0,653.902
openmp,marvin,dmatdmatadd,1048,1,32,128,4096,768,297,1106688,297,1.0,1216512,297.0,0,32768,262144,20971520,8,512,8,456192.0,4,2326.6687850863254,1.0,472.05
openmp,marvin,dmatdmatadd,1200,1,32,128,4096,1536,380,1459200,380,1.0,1556480,380.0,0,32768,262144,20971520,8,512,8,583680.0,4,3434.5983308806167,1.0,419.263
openmp,marvin,dmatdmatadd,1380,1,32,128,4096,3200,484,1943040,484,1.0,1982464,484.0,0,32768,262144,20971520,8,512,8,743424.0,4,4660.895614440847,1.0,408.591
openmp,marvin,dmatdmatadd,1587,1,32,128,4096,1632,650,2539200,650,1.0,2662400,650.0,0,32768,262144,20971520,8,512,8,998400.0,4,6271.856105732044,1.0,402.073
openmp,marvin,dmatdmatadd,200,1,32,256,6400,0,7,44800,7,1.0,44800,7.0,0,32768,262144,20971520,8,512,8,16800.0,4,37.85727806170737,1.0,1056.6
openmp,marvin,dmatdmatadd,230,1,32,256,7424,0,8,59392,8,1.0,59392,8.0,0,32768,262144,20971520,8,512,8,22272.0,4,51.006889493285826,1.0,1055.23
