benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,chunk_size,num_blocks,mflops,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1))
dmatdmatadd,455,1,4,1024,1820,60,114,967.426,1.9,109200,114.0,NA
dmatdmatadd,455,1,4,1024,1820,70,114,967.385,1.6285714285714286,127400,114.0,NA
dmatdmatadd,455,1,4,1024,1820,80,114,967.435,1.425,145600,114.0,NA
dmatdmatadd,455,1,4,1024,1820,90,114,969.269,1.2666666666666666,163800,114.0,NA
dmatdmatadd,455,1,4,1024,1820,100,114,968.758,1.14,182000,114.0,NA
dmatdmatadd,455,1,4,1024,1820,114,114,996.371,1.0,207480,114.0,NA
dmatdmatadd,455,1,4,256,1024,50,228,911.38,4.56,51200,228.0,NA
dmatdmatadd,455,1,4,256,1024,60,228,928.902,3.8,61440,228.0,NA
dmatdmatadd,455,1,4,256,1024,70,228,929.897,3.257142857142857,71680,228.0,NA
dmatdmatadd,455,1,4,256,1024,80,228,943.549,2.85,81920,228.0,NA
dmatdmatadd,455,1,4,256,1024,90,228,945.656,2.533333333333333,92160,228.0,NA
dmatdmatadd,455,1,4,256,1024,100,228,941.742,2.28,102400,228.0,NA
dmatdmatadd,455,1,4,256,1024,200,228,960.698,1.14,204800,228.0,NA
dmatdmatadd,455,1,4,256,1024,228,228,992.084,1.0,233472,228.0,NA
dmatdmatadd,455,1,4,512,1820,30,114,933.464,3.8,54600,114.0,NA
dmatdmatadd,455,1,4,512,1820,40,114,949.995,2.85,72800,114.0,NA
dmatdmatadd,455,1,4,512,1820,50,114,950.187,2.28,91000,114.0,NA
dmatdmatadd,455,1,4,512,1820,60,114,966.97,1.9,109200,114.0,NA
dmatdmatadd,455,1,4,512,1820,70,114,960.155,1.6285714285714286,127400,114.0,NA
dmatdmatadd,455,1,4,512,1820,80,114,968.222,1.425,145600,114.0,NA
