runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,work_per_core,w1,w2,w3,w4,w5,w6,w7,w8,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33280,5280,586.6666666666666,36864,5280.0,0,32768,262144,20971520,8,512,8,13824.0,4,51362.79668558887,587.0,347.211
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,33872,11235,1248.3333333333333,36864,11235.0,0,32768,262144,20971520,8,512,8,13824.0,4,98527.22165780196,1249.0,418.325
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,36192,12250,1361.111111111111,36864,12250.0,0,32768,262144,20971520,8,512,8,13824.0,4,115766.71824979623,1362.0,423.265
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,27680,173,17.3,27680,173.0,0,32768,262144,20971520,8,512,8,10380.0,4,540.3129986081407,18.0,883.71
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,33792,5280,528.0,40960,5280.0,0,32768,262144,20971520,8,512,8,15360.0,4,50805.44698307789,528.0,351.02
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,37968,11235,1123.5,40960,11235.0,0,32768,262144,20971520,8,512,8,15360.0,4,100264.42734572841,1124.0,411.077
hpx,ws_marvin,dmatdmatadd,7000,1,4,1024,4096,49000000,49000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,40288,12250,1225.0,40960,12250.0,0,32768,262144,20971520,8,512,8,15360.0,4,115485.14366116187,1225.0,424.297
hpx,ws_marvin,dmatdmatadd,690,1,4,1024,2768,477480,477480,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,55360,173,8.65,55360,173.0,0,32768,262144,20971520,8,512,8,20760.0,4,499.11201378965757,9.0,956.659
hpx,ws_marvin,dmatdmatadd,4222,1,4,1024,4096,17833728,17833728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,67584,5280,264.0,81920,5280.0,0,32768,262144,20971520,8,512,8,30720.0,4,49290.17636279715,264.0,361.811
hpx,ws_marvin,dmatdmatadd,6420,1,4,1024,4096,41216400,41216400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,75936,11235,561.75,81920,11235.0,0,32768,262144,20971520,8,512,8,30720.0,4,94926.44975851753,562.0,434.193
