runtime,node,benchmark,matrix_size,num_threads,block_size_row,block_size_col,num_elements,work_per_core,w1,w2,w3,w4,w5,w6,w7,w8,chunk_size,grain_size,num_blocks,num_blocks/chunk_size,num_elements*chunk_size,num_blocks/num_threads,num_blocks/(chunk_size*(num_threads-1)),L1cache,L2cache,L3cache,cache_line,set_associativity,datatype,cost,simd_size,execution_time,num_tasks,mflops,include
hpx,marvin_old,dmatdmatdmatadd,345,1,4,128,512,240120,240120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2784,261,87.0,1536,261.0,0,32768,262144,20971520,8,512,8,1536.0,4,480.44370813224805,87.0,499.788,1
hpx,marvin_old,dmatdmatdmatadd,396,1,4,128,512,313632,313632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,396,132.0,1536,396.0,0,32768,262144,20971520,8,512,8,1536.0,4,629.0631205247007,132.0,498.57,1
hpx,marvin_old,dmatdmatdmatadd,455,1,4,128,512,414960,414960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,456,152.0,1536,456.0,0,32768,262144,20971520,8,512,8,1536.0,4,774.0346950195859,152.0,536.1,1
hpx,marvin_old,dmatdmatdmatadd,523,1,4,128,512,548104,548104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,655,218.33333333333334,1536,655.0,0,32768,262144,20971520,8,512,8,1536.0,4,1179.3295019569282,219.0,464.759,1
hpx,marvin_old,dmatdmatdmatadd,600,1,4,128,512,720000,720000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,750,250.0,1536,750.0,0,32768,262144,20971520,8,512,8,1536.0,4,1338.7179544389658,250.0,537.828,1
hpx,marvin_old,dmatdmatdmatadd,690,1,4,128,512,954960,954960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,1038,346.0,1536,1038.0,0,32768,262144,20971520,8,512,8,1536.0,4,1944.1526396794761,346.0,491.196,1
hpx,marvin_old,dmatdmatdmatadd,793,1,4,128,512,1262456,1262456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,1393,464.3333333333333,1536,1393.0,0,32768,262144,20971520,8,512,8,1536.0,4,2708.7726525655385,465.0,466.062,1
hpx,marvin_old,dmatdmatdmatadd,912,1,4,128,512,1663488,1663488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,1824,608.0,1536,1824.0,0,32768,262144,20971520,8,512,8,1536.0,4,3960.5819847575417,608.0,420.011,1
hpx,marvin_old,dmatdmatdmatadd,1048,1,4,128,512,2196608,2196608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,2358,786.0,1536,2358.0,0,32768,262144,20971520,8,512,8,1536.0,4,5454.456964923345,786.0,402.718,1
hpx,marvin_old,dmatdmatdmatadd,1200,1,4,128,512,2880000,2880000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,3000,1000.0,1536,3000.0,0,32768,262144,20971520,8,512,8,1536.0,4,7321.9656426931615,1000.0,393.337,1
hpx,marvin_old,dmatdmatdmatadd,1380,1,4,128,512,3808800,3808800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,3795,1265.0,1536,3795.0,0,32768,262144,20971520,8,512,8,1536.0,4,9654.728378381804,1265.0,394.501,1
hpx,marvin_old,dmatdmatdmatadd,1587,1,4,128,512,5040312,5040312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,5161,1720.3333333333333,1536,5161.0,0,32768,262144,20971520,8,512,8,1536.0,4,14013.907386039786,1721.0,359.665,1
hpx,marvin_old,dmatdmatdmatadd,1825,1,4,128,512,6672200,6672200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,6855,2285.0,1536,6855.0,0,32768,262144,20971520,8,512,8,1536.0,4,19773.465468598115,2285.0,337.432,1
hpx,marvin_old,dmatdmatdmatadd,2100,1,4,128,512,8820000,8820000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,8925,2975.0,1536,8925.0,0,32768,262144,20971520,8,512,8,1536.0,4,27088.20250427668,2975.0,325.603,1
hpx,marvin_old,dmatdmatdmatadd,2415,1,4,128,512,11669280,11669280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,11476,3825.3333333333335,1536,11476.0,0,32768,262144,20971520,8,512,8,1536.0,4,31518.405777920627,3826.0,370.237,1
hpx,marvin_old,dmatdmatdmatadd,2777,1,4,128,512,15440120,15440120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,15290,5096.666666666667,1536,15290.0,0,32768,262144,20971520,8,512,8,1536.0,4,45637.2165061199,5097.0,338.323,1
hpx,marvin_old,dmatdmatdmatadd,3193,1,4,128,512,20409656,20409656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,19975,6658.333333333333,1536,19975.0,0,32768,262144,20971520,8,512,8,1536.0,4,49418.531898614034,6659.0,412.996,1
hpx,marvin_old,dmatdmatdmatadd,3672,1,4,128,512,26967168,26967168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,26622,8874.0,1536,26622.0,0,32768,262144,20971520,8,512,8,1536.0,4,81610.12471288195,8874.0,330.439,1
hpx,marvin_old,dmatdmatdmatadd,4222,1,4,128,512,35667456,35667456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,34848,11616.0,1536,34848.0,0,32768,262144,20971520,8,512,8,1536.0,4,96045.49763033175,11616.0,371.36,1
hpx,marvin_old,dmatdmatdmatadd,4855,1,4,128,512,47151760,47151760,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,46132,15377.333333333334,1536,46132.0,0,32768,262144,20971520,8,512,8,1536.0,4,114631.60018768247,15378.0,411.333,1
hpx,marvin_old,dmatdmatdmatadd,5583,1,4,128,512,62350944,62350944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,61424,20474.666666666668,1536,61424.0,0,32768,262144,20971520,8,512,8,1536.0,4,187810.27082222604,20475.0,331.989,1
hpx,marvin_old,dmatdmatdmatadd,6420,1,4,128,512,82432800,82432800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,81855,27285.0,1536,81855.0,0,32768,262144,20971520,8,512,8,1536.0,4,248940.1603575581,27285.0,331.135,1
hpx,marvin_old,dmatdmatdmatadd,7000,1,4,128,512,98000000,98000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3072,96250,32083.333333333332,1536,96250.0,0,32768,262144,20971520,8,512,8,1536.0,4,268772.96911853435,32084.0,364.62,1
hpx,marvin_old,dmatdmatdmatadd,200,1,4,128,512,80000,80000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3200,100,25.0,2048,100.0,0,32768,262144,20971520,8,512,8,2048.0,4,150.3945978260461,25.0,531.934,1
hpx,marvin_old,dmatdmatdmatadd,230,1,4,128,512,106720,106720,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3712,116,29.0,2048,116.0,0,32768,262144,20971520,8,512,8,2048.0,4,182.51033803404624,29.0,584.734,1
hpx,marvin_old,dmatdmatdmatadd,264,1,4,128,512,139392,139392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3136,198,49.5,2048,198.0,0,32768,262144,20971520,8,512,8,2048.0,4,272.92538371321217,50.0,510.733,1
hpx,marvin_old,dmatdmatdmatadd,300,1,4,128,512,180000,180000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3424,225,56.25,2048,225.0,0,32768,262144,20971520,8,512,8,2048.0,4,328.7563148608813,57.0,547.518,1
hpx,marvin_old,dmatdmatdmatadd,345,1,4,128,512,240120,240120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3808,261,65.25,2048,261.0,0,32768,262144,20971520,8,512,8,2048.0,4,388.10910760119737,66.0,618.692,1
hpx,marvin_old,dmatdmatdmatadd,396,1,4,128,512,313632,313632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3168,396,99.0,2048,396.0,0,32768,262144,20971520,8,512,8,2048.0,4,538.9662389975151,99.0,581.914,1
hpx,marvin_old,dmatdmatdmatadd,455,1,4,128,512,414960,414960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3648,456,114.0,2048,456.0,0,32768,262144,20971520,8,512,8,2048.0,4,648.819035527439,114.0,639.562,1
hpx,marvin_old,dmatdmatdmatadd,523,1,4,128,512,548104,548104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,655,163.75,2048,655.0,0,32768,262144,20971520,8,512,8,2048.0,4,894.1760703198031,164.0,612.971,1
hpx,marvin_old,dmatdmatdmatadd,600,1,4,128,512,720000,720000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,750,187.5,2048,750.0,0,32768,262144,20971520,8,512,8,2048.0,4,1066.5718602790864,188.0,675.06,1
hpx,marvin_old,dmatdmatdmatadd,690,1,4,128,512,954960,954960,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,1038,259.5,2048,1038.0,0,32768,262144,20971520,8,512,8,2048.0,4,1437.6103656801688,260.0,664.269,1
hpx,marvin_old,dmatdmatdmatadd,793,1,4,128,512,1262456,1262456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,1393,348.25,2048,1393.0,0,32768,262144,20971520,8,512,8,2048.0,4,2495.001917018779,349.0,505.994,1
hpx,marvin_old,dmatdmatdmatadd,912,1,4,128,512,1663488,1663488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,1824,456.0,2048,1824.0,0,32768,262144,20971520,8,512,8,2048.0,4,3516.8730787607665,456.0,473.002,1
hpx,marvin_old,dmatdmatdmatadd,1048,1,4,128,512,2196608,2196608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,2358,589.5,2048,2358.0,0,32768,262144,20971520,8,512,8,2048.0,4,5101.485895834011,590.0,430.582,1
hpx,marvin_old,dmatdmatdmatadd,1200,1,4,128,512,2880000,2880000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,3000,750.0,2048,3000.0,0,32768,262144,20971520,8,512,8,2048.0,4,7248.6930958715175,750.0,397.313,1
hpx,marvin_old,dmatdmatdmatadd,1380,1,4,128,512,3808800,3808800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,3795,948.75,2048,3795.0,0,32768,262144,20971520,8,512,8,2048.0,4,9368.4280433002,949.0,406.557,1
hpx,marvin_old,dmatdmatdmatadd,1587,1,4,128,512,5040312,5040312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,5161,1290.25,2048,5161.0,0,32768,262144,20971520,8,512,8,2048.0,4,11389.866358134888,1291.0,442.526,1
hpx,marvin_old,dmatdmatdmatadd,1825,1,4,128,512,6672200,6672200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,6855,1713.75,2048,6855.0,0,32768,262144,20971520,8,512,8,2048.0,4,16097.605697686764,1714.0,414.484,1
hpx,marvin_old,dmatdmatdmatadd,2100,1,4,128,512,8820000,8820000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,8925,2231.25,2048,8925.0,0,32768,262144,20971520,8,512,8,2048.0,4,21250.86135860949,2232.0,415.042,1
hpx,marvin_old,dmatdmatdmatadd,2415,1,4,128,512,11669280,11669280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4096,11476,2869.0,2048,11476.0,0,32768,262144,20971520,8,512,8,2048.0,4,29050.027881781247,2869.0,401.696,1
